index;Batch;VFA_geq;TAN_geq;Unnamed: 4;Unnamed: 5
StepNantes_20211011_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211012_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211013_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211014_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211015_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211018_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211020_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211021_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211022_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211025_2;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211027_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211028_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
StepNantes_20211029_1;Step de Nantes;0.3;0.8;données moyennes depuis historique avec microkit LCK;données moyennes depuis historique avec microkit LCK
